Filename:	Japanese title	Body text	Title:	Lovely Sweet Dream Entry:	Translation 1	Revised Translation 1	Translation 2	Revised Translation 2
Spday01c	蛙を捕まえる	通りは深い川になっている。胸のあたりまで水がくる。小さな蛙を見付けた私は、その蛙を捕まえようとする。蛙のやわらかい身体を握り締めたが、その気持ち悪い感覚に驚く。	“Catching a frog”	(pg. 115)	The street is a deep river. The water came up to my chest. I find a small frog and try to catch it. I’m squeezing its soft body, but the disgusting feeling woke me up.	The street is a deep river. The water comes up to my chest. I find a small frog and try to catch it. I’m squeezing its soft body, but I'm surprised by how disgusting it feels.	Catching a Frog The passage's become a deep river. The water reaches my chest area. I found a small frog, and I decided to grab it. I grasped its soft body firmly but I was startled by the gross sensation.	
Spday01d	鯨の尾鰭の行進	鯨が子供を産むために川を上っていくというニュースが街を賑わせている。黒い大きな尾尾鰭はとても立派なもので、その姿だけからでもとてつもない大きさの鯨たちが一斉に上流目指して進んでいると思われる。	"Whale's tail fin parade"	"Whales' Tails on the March" The news has been spread in town that whales are going up the rivers to lay eggs. Lots of tips have been coming into the TV station from town citizens who have seen the tail fins of whales marching up rivers everywhere. These big, black tail fins are very impressive. You can tell that these are gigantic whales, just by looking at the fins going across town and up the rivers together. But it's also strange that nothing but their tails fins can be seen, since the rivers are so shallow. Watching the live TV broadcast of the march in the river near my house, I rush down to the site. The marching whale tails look just like a stage set. It's a very weird scene. (pg. 107)	The town I was in was spreading rumours about whales that ascend the river to give birth. Their big blacktail fins were impressive. It was thought that these enormous whales swam upstream all at once in that structure. (PuPTooN)	My town was spreading rumours about whales that ascend the river to give birth. Their big blacktail fins were impressive. It was thought that these enormous whales swam upstream all at once in that structure. 	The Parade of the Whales' Tail Fins The news about whales going up the river to give birth is spreading across the city. The black, huge tail fins are so extravagant - I think that the enormous whales go up the stream and advance all at once, by looking at its silhouette.	
Spday01e	猫の声	物干しのところに白猫がうずくまっている。駆け寄ると、猫は弱々しく哀しげな、そして機械のような声で、「会えてよかった」と繰り返して云うのだ。その初めて聞いた猫の声がとても哀れで、私は胸が一杯になる。	"Cat's voice"		There was a white cat curled up on the balcony. As I approached the weakened cat, it repeatedly cried "I'm happy to meet you", in a machine-like tone. It was very sad that I cried. (PuPTooN)		Voice of a Cat A white cat was squatting next to the clothesline. When I tried to get near it, the cat whispered, with a sad, deadpan voice, "It was good that we met", repeatedly. Having listened to a cat's voice for the first time, my chest filled up with pity.	Voice of a Cat A white cat was crouched next to the clothesline. As I approached it, the cat repeatedly whispered, in a sad, monotone voice, "I am  glad to have met you." Having listened to the cat's voice for the  first time, my chest filled with anguish.
Spday01f	追われる	誰かに追われている。それは組織のようなものだ。そこの小さな洋服店には今は引退した老師がいて、追われている私をかくまってくれる。しかし、私はこれからも敵に追われ続けるものだ。	"I'm being chased."		I'm being chased by something. Something like an organization. The old, retired master of the small dressmaker shop is covering for me. However, I will continue to be chased by my enemies.		Being Chased I'm being chased by someone. Apparently by something like an organization. An old man that moved in recently to a small clothing shop sheltered me from the chasers. But, from now on, I'll continue being followed by enemies.	Chased Someone is chasing me. It is something like an organization. I was sheltered from my pursuers by an old man who recently moved into a small clothing shop. But, from today onwards, the enemy will  continue to pursue me.
Spday02c	下着店	坂の下のビデオショップの前に、下着店がある。段ボールに山積みにされた下着たちは、「綿のパンツ五枚で五百円」店の横にまわると、段ボールにはドーベルマンのように大きな猫が入って売られている。	"Underwear shop"		At the foot of the hill, across from the video store, is an underwear shop. The pile of underwear in the cardboard box is labelled "Cotton undergarments, 5 for 500 Yen" Turning to the side of the store, inside a cardboard box, a large cat the size of a doberman is sold. [Note: The diary doesn't say what kind of underwear is being sold, it just uses the generic 'undergarments']			
Spday02d	私の死ぬ日	私はあと二、三日後に死んでしまうことに決まった。これは運命だ。死ぬ日は二十六日。今から止めたいと思っても、もう駄目だ。	"The day I die"		It is confirmed that my life will end in less than two to three days. This is my fate. The day I die will be on the 26th. So there is no way of stopping me now. (PuPTooN)			
Spday02e	私の手を握る	そして車は、老木の中をくりぬいたような一軒の家へ着く。亡くなったひいおばあちゃんが出てきて、「よく来てくれたねえ」と云って、私の手を握った。	"Ninth floor"		The ninth floor of the apartment. In the past, an old lady used to live near the Japanese-style room. She was half insane. She was saying all kinds of bad things. Even if I asked her something it was like she couldn't hear anything.			
Spday02f	彼は「希望」	山門を守っていた「あ」と「うん」の前に、赤鬼が居座る。二人の間から「たろう」という男の子が生まれた。彼は赤鬼のすきを見て、山門の前に渦巻く時間の流れに飛び込んで逃げた。彼は「希望」だ	"He was 'Hope'"	A miniature Fuji has erupted like a sparkling fountain on the mound of Mt. Fuji. From that spot a big red ogre is born. The red ogre sits down in front of "A" and "UN", the guards of the main gate of the temple, as if he were keeping an eye on them. Between the two guards a boy named "Taro" is born. The boy slips past the red ogre and escapes, diving into the vortex of time in front of the gate. He is 'Hope'.	A boy named "Taro" was born from two of the red demons sitting in front of "A" and "E" who had protected the "hope" mountain gate. He saw the favor of Akaemon, jumped into the flow of time swirling in front of the mountain gate and ran away. He is "hope."  (Credit: 「日本」ウィンディ#8668)		The red demon sat in front of the two guardians, Ah and Ung. From these two, a boy named "Taro" was born. He slipped past the demon and escaped into the flow of time. It was his only hope. (PuPTooN)	
Spday03c	むにゅむにゅとしたもの	顔中が吹出物だらけ。鼻のてっぺんからも、分子構造モデルのような形のむにゅむにゅが出てきた。とても気持ち悪い。洗面所の窓に捨てにいく。外に出して窓をしめ、むにゅむにゅがどこへ飛んでいくのか、しばらく見ていた。	"Those squishy things"		There was lots of ruins in my face. From the top of the nose, a shape like a molecular structure model came out. It is very disgusting. I throw it to the window of the bathroom. I went outside and went to the window, so I was watching for where I was going to fly. (Credit: 「日本」ウィンディ#8668)		My face was covered in erupted bits. Those squishy things that resemble molecular structures came from the tip of my nose. It felt very uncomfortable. I threw it out of the bathroom window. I closed the window shut. I stared at the window, wondering how far it went.	
Spday03d	有名人になってしまった自分	歌を唄う人たちのポスター、その中のひとりは自分。有名人になってしまった。図書館の一室。一般の質問者たちが待っている。座るといきなり、「○○の歌詞の意味は？」と聞かれる。どーでもいいじゃないか。	"To myself who became famous"		There were singers on a poster. And one of them was me. I had become a celebrity. In one room of the library, there were people waiting for me to answer their questions. When I finally sat down, they asked me "What is the meaning of the lyrics in OO?". I answered, whatever. (PuPTooN)			
